May 19 2025,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
shyyne,17318,Tobias Sæther,Norway,25,1.03,1,239,372,9550,6400,6161,1.04,34.5,69.1,N/A,"{""2018"":1,""2020"":1.1,""2021"":0.97,""2022"":1.05,""2023"":1,""2024"":0.92}",159,"[""9506/Viperio"",""5108/Norway"",""13105/ALASKA""]",0,0,0,0,0,0,0,N/A
nolkz,17325,Felipe Rodrigues,Brazil,25,1.01,N/A,-430,331,8228,5265,5695,0.92,52.8,73,1.05,"{""2018"":0.96,""2021"":0.92,""2022"":0.98,""2023"":0.97,""2024"":0.85}",78,"[""12233/Solid"",""12132/Fuscão 1500"",""11306/The Union"",""11630/AJF"",""11711/Players"",""6619/INTZ"",""9113/Connect"",""11933/Yawara"",""12863/ex-Corinthians"",""12915/Nitro"",""12915/NITRO"",""12988/GameHunters""]",0,0,0,0,0,0,0,N/A
lurzz,17340,Ibrahim Sandikci,Turkey,27,1.08,N/A,8,10,256,187,179,1.04,59.4,79.9,0.74,"{""2018"":1.07,""2020"":0.79}",5,"[""8772/Syman"",""8263/Royal Bandits""]",0,0,0,0,0,0,0,N/A
Cxzi,17353,Danny Strzelczyk,United States,24,1.1,1.01,-76,1016,25552,18314,18390,1,39,81.9,0.96,"{""2018"":1.25,""2019"":1.08,""2020"":1,""2021"":1.03,""2022"":1,""2023"":0.99,""2024"":1.02}",301,"[""12375/Forsaken"",""10017/Rugratz"",""8038/Party Astronauts"",""11826/Vendetta"",""11948/Nouns"",""11869/Squirtle Squad"",""11571/Gaimin Gladiators"",""11599/BHOP"",""5479/Mythic"",""11298/Strife"",""10304/Triumph"",""11333/NA's Finest"",""10747/Secret Club"",""11075/ChocoCheck"",""10357/Rebirth"",""10773/Estral"",""10838/Incognito"",""10514/Gen.G"",""10791/Positive Vibes Only"",""10744/Levitate"",""10759/ex-Polar Ace"",""9497/Polar Ace"",""9277/ETHEREAL"",""6792/Prospects"",""10391/Faint"",""10587/Saskatoon Warriors"",""10536/Holding W"",""9615/Thunder Logic"",""10146/Just Swing"",""9716/Dogs of War"",""5699/MWNL"",""9278/disADVANCtagED"",""13056/Undone"",""12419/undefined"",""10157/Kinship"",""12971/Wanted Goons"",""5005/Complexity""]",0,0,0,0,0,0,0,N/A
elemeNt,17359,Ignacio Lagos,Chile,23,0.98,N/A,-374,265,6939,4454,4828,0.92,46.1,71.5,N/A,"{""2018"":1.05,""2019"":1.03,""2020"":0.96,""2021"":0.98,""2022"":0.82}",69,"[""6799/Furious"",""6210/Chile"",""10995/Boca Juniors"",""10793/Meta Academy"",""10740/Real Betis SA"",""10632/Rysix"",""9996/9z"",""6800/Rejected"",""9755/PELAFUSTANES"",""9564/Duck Nutz"",""9584/Duck Nutz"",""9126/Kazek""]",0,0,0,0,0,0,0,N/A
curry,17368,Rahul Nemani,United States,21,1.07,N/A,-58,259,6821,4750,4808,0.99,54.1,77.3,0.87,"{""2018"":0.95,""2019"":1,""2020"":1,""2021"":0.98}",83,"[""11362/Now you know"",""10357/Rebirth"",""10759/ex-Polar Ace"",""10304/Triumph"",""10017/Rugratz"",""10650/Under 21"",""10302/Divine"",""10531/Just For Fun"",""10524/MDL All-Star chelo"",""10392/MAC-51"",""10273/NASCAR Dads"",""8085/Final Feature"",""10109/shoot back"",""10002/Front"",""9615/Thunder Logic"",""7720/InControl"",""9324/PUPstars""]",0,0,0,0,0,0,0,N/A
march,17371,Marchahn Smith,South Africa,23,0.98,N/A,-113,72,1759,1157,1270,0.91,51.9,72.3,0.79,"{""2018"":1.4,""2019"":0.81,""2020"":1.02,""2021"":0.83,""2022"":0.88,""2023"":0.94,""2024"":0.93}",22,"[""5158/Bravado"",""8193/Goliath"",""6765/White Rabbit"",""5153/Energy"",""10336/Good"",""6293/Veneration""]",0,0,0,0,0,0,0,N/A
FaNg,17372,Justin Coakley,Canada,23,1.1,1.01,1038,1108,27586,19738,18700,1.06,56.9,77,0.97,"{""2018"":1.01,""2019"":0.94,""2020"":1.02,""2021"":1.06,""2022"":0.97,""2023"":0.95,""2024"":1.07}",346,"[""5005/Complexity"",""10948/Extra Salt"",""10304/Triumph"",""11133/Team Machine"",""9888/New England Whalers"",""10017/Rugratz"",""10792/ex-Recon 5"",""10791/Positive Vibes Only"",""10744/Levitate"",""10778/MDL All-Star b4rtiN"",""10650/Under 21"",""10261/Rap Gang"",""9917/Variance"",""9279/Reform"",""6673/NRG"",""12534/BOSS"",""8038/Party Astronauts"",""13106/Getting Info""]",0,2,0,0,1,0,0,N/A
NiSMO,17377,Marc-Andre Tayar,Canada,29,1.07,N/A,27,92,2401,1676,1649,1.02,52.4,78.7,0.75,"{""2018"":0.76,""2019"":1.04,""2020"":0.91}",30,"[""9888/New England Whalers"",""10747/Secret Club"",""10059/Ascent"",""7635/slashLEVEL"",""9187/Mentality""]",0,0,0,0,0,0,0,N/A
reck,17378,Ethan Serrano,United States,21,1.07,1.01,443,805,19966,13775,13332,1.03,54.4,75.3,N/A,"{""2018"":0.9,""2019"":0.94,""2020"":1,""2021"":1,""2022"":1.05,""2023"":1.04,""2024"":1.01}",272,"[""12376/M80"",""9943/ATK"",""12154/yur"",""12162/caffeine marauders"",""11298/Strife"",""11843/Hustler's University"",""11599/BHOP"",""10747/Secret Club"",""11075/ChocoCheck"",""10357/Rebirth"",""10331/Depth"",""10722/Morning Light"",""7841/Monstars"",""10541/call it luck"",""10332/Gorilla Gang"",""10223/imperial"",""10002/Front"",""10034/Sadbots"",""9824/Holo"",""9450/Las Vegas MiniGunners"",""7882/Guerrilla Tactics""]",0,0,0,0,0,0,0,N/A
And,17382,Andrey Kalyadin,Russia,22,1.05,N/A,3,7,177,126,123,1.02,40.5,77.9,N/A,"{""2018"":1}",0,"[""6668/FLuffy Gangsters"",""7472/Ha MaSSe""]",0,0,0,0,0,0,0,N/A
Vexite,17384,Declan Portelli,Australia,20,1.14,1.1,1146,716,17136,12730,11584,1.1,56.6,80.5,0.92,"{""2018"":0.85,""2019"":1,""2020"":1.05,""2021"":1.19,""2022"":1.11,""2023"":1,""2024"":1.1}",181,"[""8008/Grayhound"",""11977/Platinum Blonde"",""8668/ORDER"",""10672/VERTEX"",""6010/Chiefs"",""10655/4 and a half men"",""9747/Genuine"",""10375/Buckets"",""10327/Parallax"",""9942/MARKandLARRY"",""7983/Paradox"",""9955/DINQ"",""6161/Skyfire"",""9492/Exsto"",""9295/Summit"",""12774/FlyQuest"",""12749/Jeeves""]",0,3,0,0,0,0,0,N/A
DannyG,17385,Daniel Giusa,Australia,22,1.09,1.03,293,422,10710,7593,7300,1.04,46.8,78,0.69,"{""2018"":0.83,""2019"":0.94,""2020"":0.99,""2021"":1.14,""2022"":0.97,""2023"":1.3}",143,"[""11899/God's Work"",""7983/Paradox"",""9881/Rooster"",""9492/Exsto"",""9275/madlikewizards"",""9870/Jade"",""10326/really weird"",""9955/DINQ"",""5290/TRIDENT"",""9295/Summit""]",0,0,0,0,0,0,0,N/A
ADK,17390,Akram Smida,Australia,22,0.93,0.9,-825,437,11332,6726,7551,0.89,43,64.8,0.61,"{""2018"":0.96,""2019"":0.91,""2020"":0.9,""2022"":0.88}",183,"[""9881/Rooster"",""9275/madlikewizards"",""10581/ROCK CANDY"",""10113/ex-Athletico"",""5680/Athletico"",""9307/Devious""]",0,0,0,0,0,0,0,N/A
rekonz,17392,Daniel Mort,Australia,24,1.06,1,69,381,9430,6528,6459,1.01,53.8,76.1,N/A,"{""2018"":0.91,""2019"":0.69,""2020"":1.06,""2021"":1.04,""2022"":0.99,""2023"":0.97,""2024"":0.96}",105,"[""12472/MANTRA""]",0,0,0,0,0,0,0,N/A
bedonka,17402,Harry Hayes,Australia,23,1.06,N/A,123,379,9815,6857,6734,1.02,53.7,76.8,0.37,"{""2018"":1.05,""2019"":1,""2020"":1.03,""2021"":0.99}",111,"[""7983/Paradox"",""5607/SYF"",""7970/Astral Influence"",""6010/Chiefs""]",0,0,0,0,0,0,0,N/A
shutout,17438,Cory Frymark,Poland,26,0.92,N/A,-784,308,7480,4590,5374,0.85,42.7,69.5,0.55,"{""2018"":0.71,""2021"":0.88,""2022"":0.9,""2023"":0.8,""2024"":0.93}",88,"[""11422/the jungle"",""12295/Torch"",""10813/Eros"",""12172/ex-Villainous"",""11795/Villainous"",""11394/NoVa's Birthday Brawlers"",""11246/Eros Black"",""5454/SKDC"",""9318/Vyb"",""11660/Take Flyte"",""12909/Phoenix"",""12844/Perseverance""]",0,0,0,0,0,0,0,N/A
sense,17450,Ådne Fredriksen,Norway,21,0.96,N/A,-859,444,10593,6499,7358,0.88,51.3,69.4,N/A,"{""2018"":0.47,""2019"":0.61,""2020"":0.77,""2021"":0.9,""2022"":0.94,""2023"":0.93,""2024"":0.86}",137,"[""9806/Apeks"",""11243/Apeks Rebels"",""11052/Nordavind Talent"",""8769/Nordavind"",""10729/Nordavind NO"",""7330/MOST VALUABLE PLAYERS"",""6419/KoN Norway"",""4548/CPH Wolves"",""5108/Norway"",""12766/Nordix""]",0,1,0,4,0,0,0,N/A
Melio,17470,Cedric Perrault,Canada,24,0.98,0.94,-396,285,7015,4642,5038,0.92,48.6,72.5,N/A,"{""2018"":0.9,""2019"":0.99,""2020"":0.91,""2021"":0.93,""2022"":0.88,""2023"":1.06,""2024"":0.91}",98,"[""6273/Canada"",""12008/Homyno""]",0,0,0,0,0,0,0,N/A
KEi,17504,Kamil Pietkun,Poland,24,1.11,1.05,990,1159,30279,22189,21199,1.05,45.6,82.1,1.02,"{""2018"":0.8,""2019"":0.95,""2020"":1.09,""2021"":1.03,""2022"":1.07,""2023"":1.03,""2024"":1.04}",320,"[""10278/9INE"",""11743/FLET"",""11647/Fantastyczna Piatka"",""4869/ENCE"",""11493/MONKE"",""10426/Wisla Krakow"",""8637/Sprout"",""10973/Anonymo"",""11372/Exalted Industries"",""11216/Dolej Miodu"",""9797/AVEZ"",""10270/One More Time"",""10230/magazynpeek"",""10106/MegaWonsz9"",""10121/SamerTajm"",""9944/Polbit Pogon"",""8818/Invizy"",""9685/EFBIJAJ"",""9342/sweaty in the fridge"",""11811/Monte"",""13263/KOMNATA""]",0,1,0,0,0,0,0,N/A
glowiing,17508,Aleksandr Matsievich,Russia,31,1.1,1.02,611,1322,32653,22985,22374,1.03,55,79.8,1.03,"{""2018"":0.83,""2019"":1.02,""2020"":0.91,""2021"":1.05,""2022"":1.02,""2023"":1.02,""2024"":1}",331,"[""11883/9 Pandas"",""12044/Boston crab"",""12215/crisinjo"",""10621/1WIN"",""10977/Trident"",""10841/BEZ ZP"",""10677/Cyber Legacy"",""7017/Space Jam"",""7427/eL'quvet"",""10241/ZaBabkami"",""7610/NOTBAD"",""9748/NorBant"",""9120/Atlants"",""9290/PEY"",""12380/CYBERSHOKE""]",0,0,0,0,0,0,0,N/A
J0LZ,17510,David Jolin,Canada,24,1.07,1,131,643,16677,11737,11606,1.01,48.6,78.8,0.85,"{""2018"":1.06,""2019"":0.97,""2020"":0.96,""2021"":1.02,""2022"":1.02,""2023"":1.01,""2024"":1.01}",204,"[""12241/WITHOUT WARNING"",""11298/Strife"",""11989/Billionaires"",""11075/ChocoCheck"",""11822/Gas Money"",""10463/Recon 5"",""11215/SalutLA"",""10282/OCG"",""10875/Russian Canadians"",""10836/Sixth Gear"",""10700/Swedish Canadians"",""9856/RUNnGUN"",""10017/Rugratz"",""10186/On Lance"",""8748/Grizzlys"",""9392/LiViD"",""9343/QcClan"",""12523/ex-Wildcard"",""12008/Homyno"",""6273/Canada""]",0,0,0,0,0,0,0,N/A
KOLER,17511,Yannick Blanchette,Canada,27,1.01,N/A,-142,114,2943,1952,2094,0.93,55.2,73.8,N/A,"{""2018"":0.96,""2019"":0.94,""2020"":0.93}",30,"[""10723/Way 2 French"",""8049/District 7"",""10282/OCG"",""9856/RUNnGUN"",""10186/On Lance"",""10164/Riot Squad"",""8748/Grizzlys"",""9966/Team hazed"",""9392/LiViD"",""9343/QcClan""]",0,0,0,0,0,0,0,N/A
gamersdont,17551,Ahmed Natik,Sweden,25,0.99,N/A,-20,23,625,383,403,0.95,43.9,71.2,N/A,"{""2018"":1.31,""2020"":1.01,""2021"":0.78}",10,"[""11319/Pugbots"",""8997/PAPERPLANES"",""4413/Lemondogs"",""6418/KoN Sweden""]",0,0,0,0,0,0,0,N/A
disturbed,17552,Pablo Fernandes,Brazil,29,0.66,N/A,-126,14,358,146,272,0.54,28.1,53.3,N/A,"{""2018"":0.61}",2,"[""9355/Huzy"",""9059/dreamWorse""]",0,0,0,0,0,0,0,N/A
pesadelo,17553,Matheus Panisset,Brazil,25,1.07,1.01,231,905,23067,16262,16031,1.01,45.8,78.2,0.83,"{""2018"":1.02,""2019"":0.98,""2020"":0.99,""2021"":0.93,""2022"":1.1,""2023"":1.09,""2024"":1.06}",296,"[""6947/TeamOne"",""7176/RED Canids"",""10267/RUFUS"",""9686/Turma do Pagode"",""9552/No2B"",""9355/Huzy"",""9059/dreamWorse"",""11935/Seleção do bt0"",""12342/Age"",""2516/inSanitY"",""11946/Sojoga""]",0,0,0,0,0,0,0,N/A
Martin,17555,Zhengjie Zhuo,China,23,1.02,N/A,-122,224,6100,3998,4120,0.97,49.3,71.9,0.94,"{""2018"":0.75,""2019"":0.84,""2020"":1.02,""2021"":0.97,""2022"":0.97}",93,"[""10851/Wings Up"",""10022/OneThree"",""10245/JiJieHao"",""10084/Go1dShark"",""9349/QDLM""]",0,0,0,0,0,0,0,N/A
abdi,17562,Ahmed Abdi,Sweden,33,0.75,N/A,-157,24,590,296,453,0.65,56.8,59.1,N/A,"{""2018"":0.59,""2020"":0.55,""2021"":0.43,""2023"":0.82,""2024"":0.47}",5,"[""11641/Metizport"",""10960/Young Ninjas"",""10614/Prima"",""4480/orgless"",""9298/topkek""]",0,0,0,0,0,0,0,N/A
croic,17564,Tilman Schöne,Germany,25,0.9,N/A,-20,5,122,78,98,0.8,57.7,73.8,N/A,"{""2018"":0.81}",1,"[""5347/BLUEJAYS""]",0,0,0,0,0,0,0,N/A
cello,17565,Marcel Roode,Germany,32,0.89,N/A,-263,81,2109,1230,1493,0.82,50.3,66.1,0.56,"{""2018"":0.67,""2019"":0.83,""2020"":0.87,""2021"":0.86,""2022"":0.85}",27,"[""10967/Sissi State Punks"",""4501/ALTERNATE aTTaX"",""11375/REZIST"",""5395/PENTA"",""9789/NLG"",""10256/epikk"",""5121/Berzerk"",""5347/BLUEJAYS""]",0,0,0,0,0,0,0,N/A
Andyy,17566,Andreas Schäfer,Germany,25,1.04,N/A,331,256,6715,4672,4341,1.08,26.3,69.9,0.89,"{""2018"":1.09,""2019"":1.06,""2020"":0.93}",93,"[""9812/Unicorns of Love"",""9393/expert"",""6693/PANTHERS"",""5347/BLUEJAYS""]",0,0,0,0,0,0,0,N/A
ChrisWa,17567,Christian Walterrapp,Germany,30,0.86,N/A,-21,5,122,74,95,0.78,56.8,73.8,N/A,"{""2018"":0.87}",1,"[""5347/BLUEJAYS""]",0,0,0,0,0,0,0,N/A
JACKPOT,17575,Vladimir Dyakonov,Russia,24,0.94,N/A,-263,114,2924,1789,2052,0.87,56,69.7,0.9,"{""2018"":0.86,""2019"":0.86,""2020"":0.98,""2021"":0.9,""2022"":0.87}",24,"[""11633/LF0"",""10818/Save's"",""10749/Z-Zombies"",""8305/DreamEaters"",""10098/Warthox"",""9357/Underdogs""]",0,0,0,0,0,0,0,N/A
mcl,17583,Valentim Junior,Brazil,33,1.03,N/A,6,15,397,263,257,1.02,54.8,70.6,N/A,"{""2018"":0.72,""2019"":1.26,""2020"":1.23,""2021"":0.88}",11,"[""6619/INTZ"",""11247/Ceará"",""10518/2K"",""9226/Rão""]",0,0,0,0,0,0,0,N/A
b4rtiN,17585,Bruno Câmara,Brazil,23,1.09,1.06,1009,839,20785,14306,13297,1.08,54.9,72.9,0.93,"{""2018"":1.2,""2019"":1.09,""2020"":1.08,""2021"":1.03,""2022"":1.02,""2023"":0.99,""2024"":0.98}",311,"[""11935/Seleção do bt0"",""6947/TeamOne"",""6902/GODSENT"",""10778/MDL All-Star b4rtiN"",""9690/HARDNEJA"",""9632/NOORG"",""9225/Vitória"",""12447/SELVA"",""10669/Paquetá"",""12468/Legacy"",""7176/RED Canids"",""12722/E-Xolos LAZER"",""11946/Sojoga""]",0,2,0,0,0,0,0,N/A
Toft,17609,Magnus Toft,Denmark,21,1.01,N/A,-28,131,3562,2381,2409,0.99,52.4,71.9,N/A,"{""2018"":0.83,""2019"":1.01,""2020"":0.99,""2021"":0.58,""2022"":0.97}",36,"[""11134/CEPTER"",""4602/Tricked"",""9754/FASTLOSE"",""9374/HYDR"",""9788/ex-Fragsters"",""9980/Söderberg & Partners""]",0,0,0,0,0,0,0,N/A
OMG,17619,Morís Marquez-Cid,Spain,27,0.95,N/A,-144,70,1863,1161,1305,0.89,51.4,70,N/A,"{""2018"":1.1,""2019"":0.88,""2020"":0.88,""2022"":0.76}",18,"[""11615/Gravity 0"",""10592/Wygers"",""10742/ARG"",""4468/x6tence"",""9422/CarritoSpain"",""7684/Arctic"",""9380/MauRiSiO""]",0,0,0,0,0,0,0,N/A
Wolffe,17622,Kyle Greenfield,United States,23,1.1,1.03,536,524,12763,9283,8747,1.06,55.3,80.1,1.04,"{""2018"":0.78,""2019"":1.08,""2020"":1.01,""2021"":0.98,""2022"":1.03,""2023"":1.08,""2024"":1.02}",158,"[""12245/FLUFFY AIMERS"",""11388/Limitless"",""13229/Daaku"",""5347/BLUEJAYS"",""12534/BOSS""]",0,0,0,0,0,0,0,N/A
syncD,17642,David Slovacek,Czech Republic,23,0.99,N/A,-73,34,855,531,604,0.88,52.4,73.3,N/A,"{""2018"":0.69,""2019"":0.72,""2020"":0.65,""2021"":1.15,""2022"":0.93,""2024"":1.08}",12,"[""5090/Party Daddlers"",""11060/EPIC DUDES"",""5540/TTC"",""5009/Playing Ducks"",""8637/Sprout"",""13014/Wave""]",0,0,0,0,0,0,0,N/A
Frazehh,17656,Fraser Sollom,United Kingdom,27,0.99,N/A,-168,155,4117,2751,2919,0.94,41.7,70.3,0.79,"{""2018"":0.85,""2019"":0.96,""2020"":0.98,""2021"":0.83,""2022"":1.01,""2023"":0.88,""2024"":1.14}",53,"[""7234/Endpoint"",""11553/Dripmen"",""12003/eMasters"",""11638/BLVKHVND"",""11389/RATIO'D"",""10545/Chetz"",""10546/NEDS"",""8020/Vexed"",""9674/London"",""9839/reflex"",""9553/Orgles5"",""6297/CeX""]",0,0,0,0,0,0,0,N/A
hechtikal,17768,Henric Ohlund,Sweden,23,0.92,N/A,-154,47,1200,703,857,0.82,49.9,65.4,N/A,"{""2018"":0.83,""2019"":0.81,""2023"":0.87,""2024"":0.97}",12,"[""12993/Knaeskydd"",""4413/Lemondogs"",""12664/2 Dollar Spaghetti"",""8951/Marskalk"",""12306/ex-THUNDR"",""8930/Granit""]",0,0,0,0,0,0,0,N/A
Twinkey,17769,Elias Kjellander-Dehman,Sweden,24,0.97,N/A,-166,72,1818,1169,1335,0.88,48.1,75.1,N/A,"{""2018"":1.08,""2019"":0.71,""2020"":0.84,""2021"":0.77,""2022"":0.84,""2023"":0.78,""2024"":0.9}",17,"[""12076/ZURIA"",""4413/Lemondogs"",""11451/LAN KRAEM"",""10738/FWRD"",""9735/Lilmix"",""8930/Granit"",""12578/Angel numbers"",""8488/INFURITY"",""12756/BLUDS"",""7823/fightclub"",""13031/privateshow"",""11018/megoshort""]",0,0,0,0,0,0,0,N/A
ice,17792,Aman Seitkaliyev,Kazakhstan,23,1.02,0.98,-248,530,14267,9644,9892,0.97,57.7,74.3,0.9,"{""2018"":1.05,""2019"":0.97,""2020"":1.02,""2021"":0.95,""2022"":1.01,""2023"":1.08,""2024"":0.63}",141,"[""12331/DOFG"",""12270/ex-Rune Eaters"",""12194/Rune Eaters"",""8120/AVANGAR"",""9287/Unique"",""11262/ex-100PG"",""10525/100PG"",""10097/Se7en"",""8772/Syman"",""9419/Mantegos"",""11889/Forward"",""12607/xGOD""]",0,0,0,0,0,0,0,N/A
smiley,17793,Algat Abdul,Kazakhstan,26,1.07,1.02,634,486,13176,8975,8341,1.08,28.6,72.6,0.89,"{""2018"":1.03,""2019"":1.1,""2020"":1.1,""2021"":1.01,""2022"":0.96}",176,"[""12332/TEMP"",""9287/Unique"",""11262/ex-100PG"",""10525/100PG"",""10097/Se7en"",""9960/ex-Honor & Glory"",""9419/Mantegos""]",0,0,0,0,0,0,0,N/A
sprayxd,17796,Daniel Kogan,Israel,24,0.77,N/A,-193,27,712,335,528,0.63,42.4,57.5,N/A,"{""2018"":0.68,""2021"":0.37,""2022"":0.75,""2024"":0.66}",9,"[""9943/ATK"",""11496/cs"",""8020/Vexed"",""10960/Young Ninjas""]",0,0,0,0,0,0,0,N/A
fear,17803,Rodion Smyk,Ukraine,24,1.03,0.96,-416,755,17286,10863,11279,0.96,47.8,71.3,N/A,"{""2018"":0.85,""2019"":0.72,""2020"":0.96,""2021"":0.92,""2022"":1.01,""2023"":0.91,""2024"":0.99}",237,"[""12426/Passion UA"",""4991/fnatic""]",0,1,0,0,0,0,0,N/A
JOTA,17861,Jhonatan Willian,Brazil,27,1.15,1.08,1585,671,17332,12469,10884,1.15,42.7,81,1.01,"{""2018"":0.96,""2019"":1.01,""2020"":0.94,""2021"":1.13,""2022"":1.11,""2023"":1.06,""2024"":1.01}",211,"[""9455/Imperial"",""9215/MIBR"",""10605/Bravos"",""6033/Keyd"",""9213/Santos"",""9337/Play4Lan"",""9203/Bull"",""11935/Seleção do bt0"",""12595/LOS"",""10994/O PLANO"",""8574/W7M""]",0,1,0,7,0,0,0,N/A
PREDI,17866,Matias Prediger,Argentina,25,0.93,0.86,-1135,340,8758,5379,6514,0.83,46.5,72.4,0.55,"{""2018"":1,""2019"":0.92,""2020"":0.82,""2021"":0.82,""2022"":0.85,""2023"":0.86,""2024"":0.67}",77,"[""12621/ex-LRV"",""11608/WINDINGO"",""11566/LA COCONETA"",""11357/PAMPAS"",""10852/New Pampas"",""8871/Coscu Army"",""8121/Malvinas"",""10658/FREEROX"",""10632/Rysix"",""6799/Furious"",""9933/Intic"",""9835/Young Blood"",""9478/Blue Void""]",0,0,0,0,0,0,0,N/A
nosraC,17918,Carson O'Reilly,United States,25,1.04,0.95,-818,1159,28592,18821,19639,0.96,49.4,74.7,0.82,"{""2018"":1.03,""2019"":0.99,""2020"":0.93,""2021"":0.95,""2022"":0.98,""2023"":0.94,""2024"":0.96}",373,"[""11948/Nouns"",""11989/Billionaires"",""11075/ChocoCheck"",""11571/Gaimin Gladiators"",""11685/LGG Snakes Den"",""10304/Triumph"",""11362/Now you know"",""11333/NA's Finest"",""10357/Rebirth"",""10744/Levitate"",""10463/Recon 5"",""10565/ex-iNTACT"",""9176/iNTACT"",""10356/idc go next"",""9850/SODMG"",""10109/shoot back"",""9502/University of Colorado Boulder"",""10464/timbermen"",""13106/Getting Info""]",0,0,0,0,0,0,0,N/A
Walco,17929,Colby Walsh,Canada,23,1.02,0.95,-684,898,22823,14901,15585,0.96,56.7,72.7,0.81,"{""2018"":0.68,""2019"":0.97,""2020"":0.93,""2021"":0.97,""2022"":0.96,""2023"":0.95,""2024"":0.97}",290,"[""10399/Evil Geniuses"",""11735/EG Black"",""11734/EG White"",""11738/Doing Fun"",""11521/Carpe Diem"",""10258/RBG"",""8857/Cyclone"",""9497/Polar Ace"",""6673/NRG"",""8038/Party Astronauts""]",0,0,0,0,0,0,0,N/A
wiz,17930,Jerric Jiang,United States,23,1.03,0.99,358,767,19832,13006,12648,1.03,28.7,69,0.85,"{""2018"":0.74,""2019"":0.91,""2020"":0.98,""2021"":0.98,""2022"":1.06,""2023"":0.96,""2024"":0.95}",282,"[""12375/Forsaken"",""10399/Evil Geniuses"",""11735/EG Black"",""11734/EG White"",""11738/Doing Fun"",""11521/Carpe Diem"",""10258/RBG"",""8857/Cyclone"",""9497/Polar Ace"",""11388/Limitless""]",0,0,0,0,0,0,0,N/A
bq,17936,Adam Bergqvist,Sweden,23,1.03,0.99,-221,515,13446,9219,9440,0.98,52.8,75,0.66,"{""2018"":0.49,""2019"":0.93,""2020"":0.99,""2021"":0.99,""2022"":0.99,""2023"":1.01,""2024"":0.93}",151,"[""9735/Lilmix"",""10960/Young Ninjas"",""11817/skeletor"",""11245/X Gamer"",""5133/Sweden"",""10614/Prima"",""10434/Valorix"",""9506/Viperio"",""11243/Apeks Rebels"",""12604/Johnny Speeds""]",0,0,0,0,0,0,0,N/A
isak,17937,Isak Fahlén,Sweden,23,1.01,0.97,-578,1061,27200,17424,18002,0.97,50.2,72,0.95,"{""2018"":0.79,""2019"":0.85,""2020"":0.99,""2021"":1,""2022"":0.94,""2023"":0.92,""2024"":0.92}",358,"[""9928/GamerLegion"",""8951/Marskalk"",""11725/kevlarirl"",""11383/sftsaftm"",""9735/Lilmix"",""10614/Prima"",""10434/Valorix"",""10060/24SJU"",""9506/Viperio"",""12464/Stockholm City"",""12519/f4ceit4contract"",""4411/Ninjas in Pyjamas"",""11641/Metizport""]",0,3,0,13,0,0,0,N/A
leaf,17939,Nathan Orf,United States,19,1.12,N/A,352,254,6523,4826,4474,1.08,50.3,79.4,0.99,"{""2018"":1.05,""2019"":0.95,""2020"":1.09}",79,"[""9085/Chaos"",""9015/MDL All-Star steel"",""10017/Rugratz"",""10332/Gorilla Gang"",""10109/shoot back"",""9849/Zone"",""9454/Masked"",""9514/blitz"",""9500/The Mad Lads""]",0,0,0,0,0,0,0,N/A
jabbi,17956,Jakob Nygaard,Denmark,21,1.04,0.99,383,1217,31435,21147,20764,1.02,59.2,71.8,1.04,"{""2018"":0.81,""2019"":0.94,""2020"":0.9,""2021"":1.02,""2022"":1.03,""2023"":1.03,""2024"":1.03}",415,"[""7175/Heroic"",""11706/Team Smoke"",""7461/Copenhagen Flames"",""6978/Singularity"",""10576/water gamers"",""8020/Vexed"",""8716/GoldenGitte"",""7875/struggletony"",""7669/Squared"",""6417/KoN Denmark"",""6665/Astralis""]",0,4,2,33,1,1,0,15
gon,17995,Andrei Gonçalves,Brazil,23,1.03,N/A,-8,168,4436,3089,3097,1,50.4,75.6,N/A,"{""2018"":0.81,""2019"":1,""2020"":0.88,""2021"":1,""2022"":1.03}",45,"[""12122/NOISEOTREM"",""11306/The Union"",""6619/INTZ"",""10945/SEVERE"",""10645/Rensga"",""9803/Evidence"",""9365/Hype"",""9551/KSHORRADA S.A""]",0,0,0,0,0,0,0,N/A
lenci,17997,Nicolás Lencinas,Argentina,25,0.99,0.92,-388,353,8559,5428,5816,0.93,43.6,70.7,0.61,"{""2018"":0.82,""2020"":0.64,""2021"":0.94,""2022"":0.96,""2023"":0.93,""2024"":0.89}",119,"[""12789/LaChampionsLiga"",""13166/Prasso""]",0,0,0,0,0,0,0,N/A
spookr,18031,Ben Johncock,Australia,25,0.87,N/A,-166,43,1132,644,810,0.8,47.5,63.6,0.81,"{""2018"":0.84,""2019"":0.82,""2020"":0.38}",11,"[""10581/ROCK CANDY"",""9275/madlikewizards"",""10113/ex-Athletico"",""5680/Athletico"",""9807/PopoutBoyz"",""8668/ORDER""]",0,0,0,0,0,0,0,N/A
