Aug 14 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
Furlan,8327,Damian Kislowski,Poland,28,N/A,0.98,-877,2193,58445,39441,40318,0.98,53,76.1,0.98,"{""2014"":1.04,""2015"":1,""2016"":1.06,""2017"":1.04,""2018"":0.99,""2019"":1,""2020"":0.97,""2021"":0.88,""2022"":0.89}",602,"[""8813/Illuminar"",""8068/AGO"",""9705/All Star B"",""8034/Org Incoming"",""6134/Kinguin"",""5137/Poland"",""6686/AGG"",""6763/noKappa"",""6375/Vexed"",""6245/eBettle"",""5613/INSHOCK"",""8248/PACT""]",0,2,0,14,0,0,0,N/A
spaze,8345,Ivan Obrezhan,Russia,26,N/A,1.02,89,538,14117,10281,10192,1.01,52,75.9,0.88,"{""2014"":0.9,""2015"":1.17,""2016"":0.96,""2017"":0.98,""2018"":0.99,""2019"":1.02,""2020"":0.63}",130,"[""11330/MayBe"",""10421/Hard Legion"",""8847/HOLLYWOOD"",""5445/LAN DODGERS"",""9569/ex-QBF"",""7367/Quantum Bellator Fire"",""9185/NewTeam"",""8723/HEY"",""5338/TEAMSWAGYOLO"",""7489/EPG"",""8509/EPG Academy"",""7450/RoX"",""7420/s4s"",""6651/Gambit"",""5138/Russia"",""6132/Method"",""5949/PiTER"",""5716/Enervate"",""4876/EYESports"",""5872/Moscow Five"",""5641/es4x"",""5218/ACES""]",0,1,0,0,0,0,0,N/A
jdm64,8346,Josh Marzano,United States,33,N/A,1.02,825,823,21321,14626,13801,1.06,23.6,70.1,0.97,"{""2014"":1,""2015"":1.1,""2016"":1.01,""2017"":0.97,""2018"":1.02}",240,"[""9943/ATK"",""5991/Envy"",""5973/Liquid"",""5974/CLG"",""6271/USA"",""5454/SKDC"",""5543/NetcodeGuides.com"",""4856/All-Stars NA""]",0,6,0,34,0,0,0,N/A
hazed,8347,James Cobb,United States,34,N/A,1,-81,736,19138,13273,13354,0.99,49.8,78.3,0.9,"{""2014"":0.95,""2015"":1.02,""2016"":0.94,""2017"":0.94,""2018"":1.08}",190,"[""5479/Mythic"",""9966/Team hazed"",""9016/MDL All-Star freakazoid"",""8667/Straight Outta Lumbridge"",""7220/Muffin Lightning"",""5974/CLG"",""6615/OpTic"",""5973/Liquid"",""6292/Conquest"",""4645/mouseSpaz"",""5543/NetcodeGuides.com""]",0,5,0,21,0,0,0,N/A
shroud,8349,Mike Grzesiek,Canada,29,N/A,1.07,1311,676,17460,12588,11277,1.12,52.9,76.1,1.02,"{""2014"":1.03,""2015"":1.12,""2016"":1.09,""2017"":0.95}",247,"[""9523/Old Guys Club"",""5752/Cloud9"",""6301/Splyce"",""6273/Canada"",""6900/Americas All-Stars"",""6132/Method"",""4856/All-Stars NA"",""5473/Manajuma""]",0,7,1,42,0,0,0,N/A
desi,8350,Derek Branchen,United States,30,N/A,1.01,99,430,10986,7826,7727,1.01,51.5,75.6,0.89,"{""2014"":0.91,""2015"":1.02,""2016"":1.05,""2017"":0.99,""2018"":1.03,""2019"":1,""2020"":1.1}",164,"[""10463/Recon 5"",""5454/SKDC"",""10111/absolute mad lads"",""6792/Prospects"",""9091/XFORCE"",""8700/BlackOut"",""5479/Mythic"",""5005/Complexity"",""5996/TSM"",""6271/USA"",""6386/Winterfox"",""6301/Splyce"",""5752/Cloud9"",""5973/Liquid"",""4645/mouseSpaz"",""6262/Maximum Effort"",""6098/Nihilum"",""5775/ELEVATE"",""5231/iBUYPOWER"",""5652/savage"",""5086/Exertus"",""5473/Manajuma""]",0,1,0,0,0,0,0,N/A
jmqa,8368,Savelii Bragin,Russia,26,N/A,0.97,-273,922,24189,16152,16425,0.98,51,73.8,0.9,"{""2014"":1.03,""2015"":0.99,""2016"":1,""2017"":1,""2018"":0.93,""2019"":0.83,""2020"":0.81}",372,"[""11371/xDDDD"",""10788/selectah"",""10746/ztrewq"",""10628/UnlukoExpress"",""10096/EXTREMUM"",""7819/teamasd"",""10118/QtabENTER"",""5445/LAN DODGERS"",""9569/ex-QBF"",""9183/Winstrike"",""7367/Quantum Bellator Fire"",""8750/Team Killz"",""7264/spray'n'pray"",""7489/EPG"",""7268/.Russia"",""5949/PiTER"",""6724/Preparation"",""6302/Worst Players"",""6923/ANOX"",""6132/Method"",""5640/UNNAMED""]",0,2,0,0,0,0,0,N/A
mixwell,8370,Oscar Cañellas,Spain,27,N/A,1.09,1911,840,21804,16275,14364,1.13,38.1,79.5,1.06,"{""2014"":0.9,""2015"":1.19,""2016"":1.14,""2017"":1.06,""2018"":1.1,""2019"":1.06}",263,"[""8769/Nordavind"",""5752/Cloud9"",""7718/Movistar Riders"",""7533/North"",""5995/G2"",""7080/Wololos"",""6615/OpTic"",""5435/gBots"",""5101/Spain"",""6124/Epsilon"",""6035/Atlantis"",""4759/OverGaming""]",0,2,2,31,0,0,0,N/A
alex,8371,Alejandro Masanet,Spain,27,N/A,1.03,1568,1447,38440,26662,25094,1.06,45.8,76.5,1,"{""2014"":1.01,""2015"":1.07,""2016"":1.08,""2017"":0.99,""2018"":1.05,""2019"":1.04,""2020"":1.01,""2021"":1.02,""2022"":1.02}",469,"[""7718/Movistar Riders"",""4949/Giants"",""7339/KPI"",""5101/Spain"",""6222/k1ck"",""6672/EU4IA"",""6124/Epsilon"",""6035/Atlantis"",""4468/x6tence"",""4759/OverGaming"",""5435/gBots""]",0,1,0,9,0,0,0,N/A
bodyy,8374,Alexandre Pianaro,France,26,N/A,0.99,-54,1499,39891,27074,27128,1,56.3,76.9,1,"{""2014"":0.9,""2015"":1.08,""2016"":0.97,""2017"":0.96,""2018"":0.9,""2019"":1,""2020"":1.04,""2021"":1,""2022"":1}",419,"[""11283/Falcons"",""11501/HEET"",""11003/DBL PONEY"",""4674/LDLC"",""10316/FiveG"",""5995/G2"",""5142/France"",""6045/LDLC White"",""5991/Envy"",""4456/Epsilon"",""5596/Platinium"",""5795/fusd0""]",0,6,4,42,0,0,0,N/A
Kjaerbye,8394,Markus Kjærbye,Denmark,25,N/A,1.04,2092,1547,40750,28921,26829,1.08,52.8,78.4,1.06,"{""2014"":1.11,""2015"":1.03,""2016"":1.12,""2017"":1.04,""2018"":1.04,""2019"":1.02,""2020"":0.93,""2021"":1.01}",443,"[""7234/Endpoint"",""11084/HYENAS"",""6667/FaZe"",""7533/North"",""6665/Astralis"",""5139/Denmark"",""7074/Delete"",""5422/Dignitas"",""5909/No Problem!"",""5971/Deponeret"",""4548/CPH Wolves"",""5831/Isak"",""5449/NO SIR!"",""4716/myRevenge""]",1,7,6,61,1,2,0,15
BENDJI,8396,Benjamin Söderena,Sweden,27,N/A,0.99,137,878,23318,16055,15918,1.01,32.5,75.4,0.97,"{""2014"":0.81,""2015"":0.99,""2016"":1.02,""2017"":0.99,""2018"":1,""2019"":1.05,""2020"":1.03}",269,"[""4413/Lemondogs"",""6407/DenDD"",""11050/Gravediggers"",""10833/Deportivo"",""10922/JAMBON"",""10504/Sons Of Lennart"",""7823/fightclub"",""7026/GrabbarnaGrus"",""9883/Moraira"",""9427/Flow"",""9458/Ronin Horde"",""6418/KoN Sweden"",""6978/Singularity"",""8475/.Sweden"",""7454/Gatekeepers"",""7897/ex-Manatee"",""7663/Manatee"",""7586/VeritasAequitas"",""6199/Wyvern"",""7409/Sharksys"",""5109/Bosnia & Herzegovina"",""6761/miMo"",""6832/Iwku"",""5745/Games4u"",""6685/Ancient"",""6624/Blojexpressen"",""5451/dope"",""5319/Property"",""4548/CPH Wolves"",""6388/mySemperFi"",""6299/Teamless.gg"",""6168/1337"",""6162/VingeN"",""5819/EZPZ_LS"",""5988/FlipSid3"",""5651/tomtebloss""]",0,1,0,0,0,0,0,N/A
arch,8410,Vladyslav Svistov,Ukraine,27,N/A,0.94,-658,593,15530,10295,10953,0.94,49,72.7,0.89,"{""2014"":0.8,""2015"":0.94,""2016"":0.96,""2017"":0.94,""2018"":0.92}",181,"[""10477/risefrom"",""10411/OG"",""10380/Broshenki"",""10096/EXTREMUM"",""5144/Ukraine"",""7265/Team1"",""5445/LAN DODGERS"",""9757/GameZone"",""9569/ex-QBF"",""7367/Quantum Bellator Fire"",""8020/Vexed"",""4469/k1ck"",""8798/l4nd0dg3"",""7020/Spirit"",""8032/Prophecy"",""7896/unLucky"",""7489/EPG"",""5949/PiTER"",""6724/Preparation"",""6302/Worst Players"",""6471/YP"",""6472/Rebels"",""6408/Arcade"",""6249/Evolution"",""5577/A-Gaming""]",0,0,0,0,0,0,0,N/A
dream3r,8412,Simeon Ganev,Bulgaria,26,N/A,1.11,4501,1429,37499,27491,22990,1.2,49.5,76.2,1.07,"{""2014"":1.06,""2015"":1.17,""2016"":1.14,""2017"":1.18,""2018"":0.98,""2019"":0.89,""2020"":1,""2021"":1.09}",624,"[""12204/359"",""11026/VOYVODA"",""5116/Bulgaria"",""11947/ex-SKADE"",""10386/SKADE"",""11066/Fiend"",""10848/MBAPPEEK"",""10958/Mixich"",""5347/BLUEJAYS"",""10566/Skin Ogres"",""10449/BG-MIX"",""7982/Bojestvata"",""8513/Windigo"",""6762/Bpro"",""4690/HEADSHOTBG"",""6959/MK"",""7701/Imperial"",""7397/Outlaws"",""7213/Friends"",""6133/Orbit"",""6226/E-frag.net"",""5817/GPlay""]",0,0,0,3,0,0,0,N/A
Zero,8413,Patrik Žúdel,Slovakia,24,N/A,1,897,1237,32902,22001,21104,1.04,49.1,72,0.98,"{""2014"":1.07,""2015"":1.04,""2016"":1,""2017"":1.03,""2018"":1.25,""2019"":1.01,""2020"":0.99,""2021"":0.97}",407,"[""10577/SINNERS"",""9928/GamerLegion"",""9802/Budapest Five"",""7055/Inside"",""6652/GameAgents"",""5310/HellRaisers"",""5141/Slovakia"",""6495/Revolte"",""5412/eSuba"",""5579/volgare"",""6410/nEophyte"",""4573/Fraternitas""]",0,1,0,12,0,0,0,N/A
netrick,8422,Jonas Wenzelsen,Denmark,28,N/A,0.82,-1736,455,11976,6753,8489,0.8,48.2,66.8,0.75,"{""2014"":0.68,""2015"":0.87,""2016"":0.92,""2017"":0.83,""2018"":0.86,""2019"":0.8,""2020"":0.79}",118,"[""8704/AGF"",""9214/unknown"",""6078/Sharkgaming"",""8465/LPSP"",""7732/Forcebuy"",""7501/ANIMALS"",""6946/Magistra"",""4907/Overrated"",""5909/No Problem!"",""6417/KoN Denmark"",""4602/Tricked"",""5208/Reason"",""6360/eaZyQuaL"",""5125/Cursive""]",0,0,0,0,0,0,0,N/A
SEMINTE,8453,Valentin Bodea,Romania,26,N/A,0.95,-601,737,19460,12709,13310,0.95,49.3,71.5,0.9,"{""2014"":1.14,""2015"":1.04,""2016"":0.98,""2017"":1.01,""2018"":1.05,""2019"":0.86,""2020"":0.94,""2021"":0.87}",310,"[""7187/Nexus"",""10823/Infinite"",""10718/LF Org"",""7872/ARYO"",""10198/jonnyyy"",""9089/AllTheStars"",""4982/XPC"",""7922/WhoCares"",""5105/Romania""]",0,0,0,0,0,0,0,N/A
Kvik,8459,Aurimas Kvakšys,Lithuania,27,N/A,0.96,-688,785,20509,13755,14443,0.95,42.7,75.1,0.92,"{""2014"":0.68,""2015"":0.88,""2016"":1.08,""2017"":0.96,""2018"":0.97,""2019"":0.93,""2020"":0.95,""2021"":0.7}",163,"[""11892/Kalbos Egzaminas"",""11001/ONYX"",""5347/BLUEJAYS"",""10887/grazhtas"",""4591/Wizards"",""8772/Syman"",""7898/pro100"",""10467/Akatsuki"",""10628/UnlukoExpress"",""10475/2BYL9"",""9183/Winstrike"",""9619/Supah"",""7367/Quantum Bellator Fire"",""8278/calmface"",""6322/GameplayDNA"",""8183/Vexed Academy"",""7566/Playing Ducks"",""7552/1337HUANIA"",""6756/VwS"",""6921/Vesuvius"",""5112/Lithuania""]",0,3,0,0,0,0,0,N/A
ZEDKO,8488,Jindřich Chyba,Czech Republic,25,N/A,0.99,99,1439,38298,25640,25541,1,53.2,74,0.92,"{""2014"":0.89,""2015"":0.8,""2016"":1.03,""2017"":0.98,""2018"":0.96,""2019"":1.05,""2020"":1.04,""2021"":0.95,""2022"":0.99}",446,"[""10577/SINNERS"",""10521/Owned"",""5412/eSuba"",""10145/Czeska wladza"",""4978/GUNRUNNERS"",""9246/warmup"",""6745/eXtatus"",""5117/Czech Republic""]",0,0,0,0,0,0,0,N/A
fl0m,8503,Erik Flom,United States,30,N/A,1.01,504,788,20789,14337,13833,1.04,31.2,73.5,0.92,"{""2014"":0.85,""2015"":0.95,""2016"":0.69,""2017"":1.15,""2018"":1.07,""2019"":0.98,""2020"":1,""2021"":0.98,""2022"":0.97}",303,"[""12385/FakeMythic"",""5479/Mythic"",""11556/fl0m's Money Crew"",""11504/Paying Myself"",""11483/BOOZOOMERS"",""9931/MDL All-Star KSCERATO"",""7538/ROG fl0m"",""5670/ownage"",""6711/Potato Streamers"",""6135/Noble"",""6021/Luminosity"",""5095/RELiABLE""]",0,0,0,0,0,0,0,N/A
