Aug 01 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
arki,356,Omar Chakkor,Spain,33,N/A,0.92,-1274,889,23396,14525,15799,0.92,52.5,70.5,0.94,"{""2012"":0.84,""2013"":0.63,""2014"":0.86,""2015"":1,""2016"":0.96,""2017"":0.88,""2018"":0.93,""2019"":0.98,""2020"":0.93,""2021"":0.9}",241,"[""10567/SAW"",""4949/Giants"",""4468/x6tence"",""6222/k1ck"",""6124/Epsilon""]",0,0,0,4,0,0,0,N/A
karrigan,429,Finn Andersen,Denmark,33,N/A,0.9,-4296,2185,57468,35445,39741,0.89,43.3,68.3,0.91,"{""2012"":0.89,""2013"":0.98,""2014"":0.99,""2015"":0.98,""2016"":0.91,""2017"":0.91,""2018"":0.88,""2019"":0.88,""2020"":0.84,""2021"":0.86,""2022"":0.84}",518,"[""6667/FaZe"",""4494/MOUZ"",""5991/Envy"",""6665/Astralis"",""6548/?"",""5996/TSM"",""4548/CPH Wolves"",""5208/Reason"",""4983/n!faculty"",""4623/fnatic""]",1,17,21,120,1,0,0,N/A
B1ad3,472,Andrey Gorodenskiy,Ukraine,36,N/A,0.83,-3408,899,23232,13472,16880,0.8,41.9,66.5,0.81,"{""2012"":0.56,""2013"":0.91,""2014"":0.84,""2015"":0.85,""2016"":0.82,""2017"":0.79}",192,"[""5988/FlipSid3"",""5593/dAT"",""4609/KerchNET""]",0,9,0,20,0,0,0,N/A
Edward,483,Ioann Sukhariev,Ukraine,35,N/A,1,773,1495,39373,27139,26366,1.03,51.1,72.4,1,"{""2012"":0.87,""2013"":1.12,""2014"":1.06,""2015"":1.01,""2016"":1.01,""2017"":0.97,""2018"":0.93,""2019"":0.94,""2020"":0.89,""2021"":0.98}",398,"[""4532/ESC"",""11801/Cossacks"",""11175/KHAN"",""11168/TBATBATBA"",""10788/selectah"",""9183/Winstrike"",""4608/Natus Vincere"",""4984/Astana Dragons""]",0,13,15,81,0,1,0,16
Zeus,484,Danylo Teslenko,Ukraine,35,N/A,0.92,-1990,1405,37152,23470,25460,0.92,43.5,69.9,0.93,"{""2012"":1.05,""2013"":1.01,""2014"":0.99,""2015"":0.92,""2016"":0.95,""2017"":0.87,""2018"":0.84,""2019"":0.86}",348,"[""4608/Natus Vincere"",""6651/Gambit""]",1,15,17,81,0,0,0,N/A
hooch,499,Dmitry Bogdanov,Russia,36,N/A,0.9,-1828,897,23538,14451,16279,0.89,41.8,70.8,0.84,"{""2012"":0.79,""2013"":0.84,""2014"":0.94,""2015"":0.95,""2016"":0.89,""2017"":0.96,""2018"":0.88,""2019"":0.83,""2020"":0.79,""2021"":0.79}",339,"[""7489/EPG"",""4610/RuSh3D"",""7268/.Russia"",""6651/Gambit"",""5218/ACES"",""4742/Nostalgie""]",0,2,0,11,0,0,0,N/A
MODDII,545,Andreas Fridh,Sweden,34,N/A,1,401,1170,30550,20585,20184,1.02,52.4,74.6,0.99,"{""2012"":1.2,""2013"":1.07,""2014"":0.92,""2015"":0.96,""2016"":1.04,""2017"":0.98,""2018"":0.93,""2021"":0.99}",406,"[""4413/Lemondogs"",""7175/Heroic"",""7059/X"",""6137/SK"",""4991/fnatic"",""4623/fnatic""]",0,1,0,37,0,0,0,N/A
BIT,555,Bruno Fukuda Lima,Brazil,33,N/A,0.98,50,737,19057,12450,12400,1,48.2,74.2,0.83,"{""2016"":1.02,""2017"":1.09,""2018"":0.93,""2019"":0.97,""2020"":0.99,""2021"":0.93}",177,"[""9996/9z"",""6947/TeamOne"",""6267/Não Tem Como"",""6621/g3x"",""6033/Keyd""]",0,0,0,0,0,0,0,N/A
fnx,557,Lincoln Lau,Brazil,33,N/A,1.02,667,688,17718,12296,11629,1.06,49.7,78.3,1.06,"{""2014"":0.76,""2015"":1.09,""2016"":1.07,""2017"":1.09,""2018"":1.03,""2019"":0.97,""2020"":0.97,""2021"":1.07}",195,"[""9455/Imperial"",""11494/Last Dance"",""10669/Paquetá"",""7176/RED Canids"",""6267/Não Tem Como"",""7010/Immortals"",""6137/SK"",""6290/Luminosity"",""6334/Games Academy"",""5822/KaBuM.TD""]",2,3,4,23,0,1,0,19
fox,629,Ricardo Pacheco,Portugal,36,N/A,1.02,523,1058,27636,19461,18938,1.03,32.1,75.5,0.97,"{""2012"":0.91,""2013"":1.16,""2014"":1.04,""2015"":0.98,""2016"":1.03,""2017"":1.05,""2018"":1.03,""2019"":1,""2020"":0.96,""2021"":0.98}",343,"[""11569/Fourteen"",""11486/SQUAD"",""8515/OFFSET"",""4949/Giants"",""6118/Tempo Storm"",""6134/Kinguin"",""5422/Dignitas"",""6667/FaZe"",""5995/G2"",""4469/k1ck""]",0,5,0,23,0,0,0,N/A
